customer_id,msisdn,first_name,last_name,birth_date,kyc_level,registration_date,country_code,region,customer_status,account_balance
CUST-001000000,+224635848057,Salif,Kaboré,1974-01-24,LEVEL_1,2022-02-01,GIN,Mamou,ACTIVE,296032.73
CUST-001000001,+224683565939,Salif,Faye,1984-03-01,LEVEL_2,2021-11-29,GIN,Kankan,DORMANT,103517.01
CUST-001000002,+225799622341,Sékou,Dia,1961-04-17,LEVEL_2,2023-08-15,CIV,Bouaké,ACTIVE,206682.84
CUST-001000003,+224762657042,Babacar,Sylla,1962-06-05,LEVEL_2,2023-08-22,GIN,Conakry,ACTIVE,262092.46
CUST-001000004,+221773168405,Issa,Sylla,1979-02-26,LEVEL_2,2022-01-16,SEN,Kédougou,ACTIVE,428956.69
CUST-001000005,+223678275225,Demba,Ouédraogo,9999-12-31,LEVEL_2,2024-07-16,MLI,Sikasso,ACTIVE,381476.09
CUST-001000006,+225794687153,Coumba,Barry,1971-08-04,LEVEL_2,2021-09-11,CIV,Korhogo,ACTIVE,200627.56
CUST-001000007,+225652271391,Bocar,Camara,1965-09-19,LEVEL_1,2021-08-06,CIV,Yamoussoukro,ACTIVE,388115.34
CUST-001000008,+224688299992,Talla,Coulibaly,1993-04-07,LEVEL_1,2023-04-10,GIN,Mamou,ACTIVE,32919.32
CUST-001000009,+221780105105,Kemo,Kourouma,1999-04-01,LEVEL_1,2021-05-24,SEN,Sédhiou,ACTIVE,46908.48
CUST-001000010,+221720218359,Daouda,Dembélé,1963-01-12,LEVEL_2,2022-06-01,SEN,Diourbel,ACTIVE,414125.7
CUST-001000011,+224601650579,Naby,Compaoré,1985-08-09,LEVEL_2,2021-07-16,GIN,Mamou,ACTIVE,393769.91
CUST-001000012,+221705024315,Bintou,Konaté,1978-12-03,LEVEL_1,2022-12-12,SEN,Ziguinchor,ACTIVE,326696.95
CUST-001000013,+221777036270,Kemo,Dieye,1972-11-15,LEVEL_2,2024-11-29,SEN,Saint-Louis,ACTIVE,313156.73
CUST-001000014,+225778156004,Aliou,Fall,1958-03-06,LEVEL_0,2025-08-17,CIV,Daloa,ACTIVE,337841.71
CUST-001000015,+224770499911,Souaïbou,Bangoura,1983-12-17,LEVEL_2,2022-09-14,GIN,Boké,DORMANT,480707.9
CUST-001000016,+223794823958,Talla,Seck,1965-08-26,LEVEL_2,2022-02-23,MLI,Sikasso,ACTIVE,143399.98
CUST-001000017,+221701807220,Ngoné,Fofana,1977-04-19,LEVEL_2,2025-07-27,SEN,Saint-Louis,ACTIVE,56795.97
CUST-001000018,+221700210432,Idrissa,Niang,2002-07-12,LEVEL_2,2022-11-19,SEN,Kédougou,ACTIVE,209398.72
CUST-001000019,+221785351543,Salif,Sow,2006-12-03,LEVEL_1,2021-11-23,SEN,Fatick,ACTIVE,271889.23
CUST-001000020,+224684632548,Coumba,Dieye,1970-01-12,LEVEL_2,2023-10-01,GIN,Kindia,ACTIVE,102062.27
CUST-001000021,+225674672222,Mamadou,Sidibé,1986-11-02,LEVEL_2,2022-08-24,CIV,Daloa,ACTIVE,57640.8
CUST-001000022,+224646049561,Mafoudia,Ouédraogo,1967-02-12,LEVEL_1,2025-01-29,GIN,Boké,DORMANT,499480.14
CUST-001000023,+223670306924,Penda,Sawadogo,1998-02-27,LEVEL_2,2024-04-03,MLI,Tombouctou,DORMANT,7684.48
CUST-001000024,+225750692573,Souaïbou,Fofana,1956-06-03,LEVEL_2,2022-08-14,CIV,San-Pédro,ACTIVE,86923.26
CUST-001000025,+221651695890,Boubacar,Konaré,2005-07-18,LEVEL_0,2021-03-16,SEN,Kaolack,ACTIVE,120525.76
CUST-001000026,+221705922845,Penda,Ouédraogo,1983-11-15,LEVEL_2,2024-12-10,SEN,Dakar,SUSPENDED,438526.66
CUST-001000027,+221680373538,Yacouba,Kaboré,1992-08-09,LEVEL_0,2025-07-22,SEN,Kaffrine,ACTIVE,181562.72
CUST-001000028,+221718671433,Awa,Niang,1974-07-20,LEVEL_1,2024-06-29,SEN,Louga,DORMANT,76800.07
CUST-001000029,+221630350129,Boubacar,Keita,1974-12-25,LEVEL_2,2024-04-01,SEN,Thiès,ACTIVE,310407.49
CUST-001000030,+221628888606,Ibrahima,Mané,1993-09-17,LEVEL_1,2023-12-25,SEN,Kaffrine,ACTIVE,225109.11
CUST-001000031,+225730727223,Yaya,Mboup,2005-03-06,LEVEL_2,2022-08-26,CIV,Abidjan,ACTIVE,451455.31
CUST-001000032,+221774592616,Coumba,Cissé,1974-04-08,LEVEL_2,2025-10-24,SEN,Matam,ACTIVE,331744.49
CUST-001000033,+225794860575,Awa,Gueye,1998-10-26,LEVEL_2,2023-06-26,CIV,Man,ACTIVE,74303.04
CUST-001000034,+225786657752,Saliou,Cherif,1987-01-24,LEVEL_2,2023-10-07,CIV,Korhogo,ACTIVE,183310.57
CUST-001000035,+221754851387,Alpha,Kourouma,1994-06-27,LEVEL_1,2024-02-14,SEN,Thiès,ACTIVE,144776.54
CUST-001000036,+224646611518,Saliou,Kaboré,2006-12-25,LEVEL_2,2022-11-24,GIN,Labé,ACTIVE,253502.16
CUST-001000037,+225752658431,Cheikh,Tall,1985-04-22,LEVEL_2,2023-01-26,CIV,Man,ACTIVE,244500.07
CUST-001000038,+221767455474,Ramatou,Ouédraogo,1957-03-22,LEVEL_1,2025-01-27,SEN,Kaffrine,ACTIVE,320370.76
CUST-001000039,+221622423598,Sokhna,Dieye,1981-09-13,LEVEL_0,2021-02-14,SEN,Saint-Louis,ACTIVE,84562.95
CUST-001000040,+221700968401,Awa,Compaoré,1987-08-15,LEVEL_2,2021-08-24,SEN,Fatick,ACTIVE,211184.47
CUST-001000041,+225715393179,Maïmouna,Mané,2007-07-06,LEVEL_0,2021-09-23,CIV,Yamoussoukro,ACTIVE,385717.16
CUST-001000042,+225619003930,Sokhna,Bah,1990-02-16,LEVEL_1,2023-11-24,CIV,San-Pédro,SUSPENDED,415985.34
CUST-001000043,+221700803485,Mohamed,Sané,2006-07-17,LEVEL_1,2025-01-05,SEN,Kédougou,ACTIVE,168316.25
CUST-001000044,+223795191920,Aïssatou,Compaoré,1994-04-10,LEVEL_1,2025-06-20,MLI,Kayes,ACTIVE,94045.95
CUST-001000045,+223797466768,Cheikh,Doumbouya,1989-05-25,LEVEL_2,2022-03-15,MLI,Mopti,ACTIVE,304242.82
CUST-001000046,+221698145966,Salif,Barry,1970-11-21,LEVEL_2,2023-10-25,SEN,Kaolack,ACTIVE,497091.99
CUST-001000047,+225649868036,Mohamed,Faye,1981-02-15,LEVEL_1,2024-02-20,CIV,Abidjan,SUSPENDED,140935.96
CUST-001000048,+221758411407,Ndèye,Kane,1977-04-26,LEVEL_1,2021-03-21,SEN,Matam,DORMANT,488272.41
CUST-001000049,+224796964066,Naby,Mboup,1999-02-05,LEVEL_2,2021-05-05,GIN,Kankan,ACTIVE,86755.53
CUST-001000050,+221723075540,Ramatou,Mbaye,1986-05-01,LEVEL_2,2024-11-16,SEN,Ziguinchor,CLOSED,76581.84
CUST-001000051,+221642764269,Abdoulaye,Fofana,1993-10-12,LEVEL_1,2023-06-14,SEN,Kédougou,SUSPENDED,188183.05
CUST-001000052,+224691414560,Maïmouna,Cherif,1972-05-15,LEVEL_2,2022-11-24,GIN,Labé,DORMANT,486527.31
CUST-001000053,+223610586610,Marème,Bayo,1991-06-27,LEVEL_1,2021-07-15,MLI,Koulikoro,ACTIVE,215467.45
CUST-001000054,+221605006971,Tidiane,Cherif,1972-10-04,LEVEL_2,2023-03-09,SEN,Kaffrine,ACTIVE,143625.29
CUST-001000055,+221732907462,Naby,Dieye,1993-02-25,LEVEL_2,2025-08-17,SEN,Thiès,ACTIVE,66235.24
CUST-001000056,+221764188386,Saliou,Dramé,2002-08-28,LEVEL_1,2023-07-18,SEN,Saint-Louis,ACTIVE,499212.03
CUST-001000057,+223665148760,Alpha,Kourouma,1995-08-22,LEVEL_2,2021-04-30,MLI,Sikasso,ACTIVE,74503.22
